ETKINLIK_ADI,ICERIK_ACIKLAMA
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Zor durumları yönetebilen ve bu durumla başa çıkabilen insanlar psikolojik olarak daha sağlamdırlar. Psikolojik sağlamlık, zor deneyimlerden ve öngörülemez zorlayıcı olaylarla baş edebilme, uyum sağlayabilme, esneklik kullanabilme ve ilerleyebilme, zorlayıcı bir stres faktörü karşısında, olumsuz duygusal tecrübelere karşı kendini toparlayabilme ve iyileştirme gücü şeklinde tanımlanır. Bu videoda psikolojik sağlamlığın boyutları aktarılmıştır."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Bu videoda “yeteneği yanlış yerde aramak” ve “yetenek savaşı” efsanesi aktarılmış, yeteneğin tanımı ve ölçümü hakkında bilgi verilmiştir."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Uzaktan çalışırken uygulayacağınız küçük değişiklikler çalışmanızı daha verimli kılacaktır. Bu videoda uzaktan etkili ve verimli çalışabilmek için gerekli olan beş temel ilke aktarılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Pandemi ile birlikte 'uzaktan çalışma' yaşamımızın bir parçası haline geldi ve birçok kurum tamamen uzaktan veya hibrit şekilde çalışmaya başladı. Bu videoda araştırma sonucunda bulunan uzaktan verimli çalışabilen insanların özellikleri aktarılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Uzaktan çalışırken uygulayacağınız küçük değişiklikler çalışmanızı daha verimli kılacaktır. Bu videoda uzaktan etkili ve verimli çalışabilmek için gerekli olan beş temel ilke aktarılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Zorlu dönemleri geride bırakan kurumların en önemli özelliği değerlere dayalı güçlü bir kurum kültürüne sahip olmaktır. Bu videoda yapılan araştırmalarda da gösteren sürekli gelişen kurumların özelliklerinden olan 'değerlere dayalı kültür' oluşturmaktan ve öneminden bahsedilmiştir.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Yönetim, çalışan memnuniyetinden daha çok 'çalışan bağlılığı'na dikkat eder bunun sebebi kuruma bağlılığı yüksek olanların yüksek performans gösterecekleri kabulüne dayandığı düşüncesidir. Bu videoda çalışan bağlılığı ve çalışan performansı arasındaki ilişkiden bahsedilmiştir."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Değerler, kararlar için pusuladır. Bu videoda kurum değerlerinin hayata geçmesi için dikkat edilmesi ve yapılması gerekenler aktarılmıştır."
Acar Baltaş ile Liderlik Yolculuğu,Savaşçı liderler etkilerini güçle sağlarlar. Bu videoda günümüzün genç çalışanlarının güç dışında yollarla yönetilerek etki sağlanabileceği anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"İnsanların algısını kişilik özellikleri, değerleri ve geçmiş yaşantıları belirler. Bu videoda bütünüyle farklı bagajlara sahip insanların anlaşamamasına değil, anlaşmasına hayret etmek gerektiği anlatılmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,Bu videoda insanları geliştirme ve yönetme süreci; Bahçevan metaforu ile çok güçlü ve etkili bir şekilde anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,Gücü elinde bulunduran insanların kusurları çevreleri tarafından meziyet gibi algılanır. Bu videoda hatalarından yanlış ders çıkaran insanlar anlatılmıştır.
Acar Baltaş ile Liderlik Yolculuğu,İnsanları yönetmek onların değer dünyalarını ve gerçek yetkinliklerini bilmekle mümkündür. Birlikte uzun yıllar çalışmış olmak çok kere insanların sadece sosyal maskelerini tanımaya imkan verir. Bu videoda insanları daha derinlemesine tanımak için önemli ipuçları verilmektedir.
Acar Baltaş ile Liderlik Yolculuğu,Yöneticilerin güven duygusu yaratması için birlikte çalıştıkları kişilerin değer verildiğini hissetmesi gerekir. Bu videoda çalışanların değerli hissetmelerinde rol oynayan dört temel yönetici davranışı anlatılmıştır.
Acar Baltaş ile Liderlik Yolculuğu,Zaman içinde liderlik anlayışı değişiklik göstermiştir. Bu videoda liderliğin özünde olan kültürden ve zamandan bağımsız beş özellik sıralanmıştır.
Acar Baltaş ile Liderlik Yolculuğu,İnançlarımız sorgulamadığımız doğrulardan oluşur ve bunlar bazen bizim istemediğimiz sonuçlar doğurur. Bu video Türkiye'de yöneticilerin doğru olduğuna inanarak savundukları görüşlerden derlenmiştir.
Acar Baltaş ile Liderlik Yolculuğu,"Bazı tutum ve davranışlar birlikte çalışmayı kolaylaştırır, bazıları da zorlaştırır. Bu videoda ekip çalışmasını kolaylaştıran sekiz tutum ve davranış sıralanmıştır."
Acar Baltaş ile Liderlik Yolculuğu,"Bazı tutum ve davranışlar birlikte çalışmayı kolaylaştırır, bazıları da zorlaştırır. Bu videoda ekip çalışmasını zorlaştıran dokuz tutum ve davranış sıralanmıştır."
Acar Baltaş ile Liderlik Yolculuğu,Bu videoda güven duygusunu etkileyen ve hayata yansıma biçimini belirleyen altı özellik anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,Bu videoda güvenin hayata yansımasının dört yolu anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"Güven, Türkçe'de birçok bağlam ve duruma bağlı olarak farklı anlamlar yüklenen ve tanımlanmakta zorluk çekilen bir kavramdır. Bu videoda güven konusunda anlayış birliği oluşturacak bir yaklaşım getirilmektedir."
Acar Baltaş ile Liderlik Yolculuğu,"Güven, soyut bir kavramdır. Ancak, bu videoda güvenin hızı etkileyerek maliyet üzerinde nasıl bir sonuç doğurduğu anlatılmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,İnsan sosyal bir canlıdır. Bu videoda bir toplulukta yaşayan insanların iyi geçinme ve öne geçme ile ilgili dört temel özelliği anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"Her insan girdiği ortamda bir enerji transferi yapar. Kimi gelirken, kimi giderken mutlu eder. Bu videoda, iyi liderlerin birlikte çalıştığı kişiler üzerinde yarattığı etki anlatılmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,"İyi bir yönetici, kendi mesleki kariyerini birlikte çalıştığı kişilere teslim ettiğinin bilincindedir. Bu videoda etkin bir ekip kurmanın temelini oluşturan dört özellik anlatılmıştır."
Acar Baltaş ile Liderlik Yolculuğu,Karizma; liderlik konusunun en tartışmalı kavramlarından biridir. Sıradan görünümlü insanlar olağanüstü; parlak insanlar ise felakete neden olan sonuçlar alabilirler. Bu videoda karizmanın aldatan cazibesi konu edilmektedir.
Acar Baltaş ile Liderlik Yolculuğu,"Bu videoda, yönetim alanında son yıllarda en çok aşındırılan kavramlardan biri olan koçluğun sonuç vermediği üç durum anlatılmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,Geçmişte liderlerin güçlü hitabetleri ile etki yaratmaları beklenirdi.  İzleyeceğiniz videoda bir liderin daha farklı yollarla nasıl etki yaratacağı anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,Kurumların başarısının en önemli belirleyicisi en tepedeki yöneticisidir. Bu videoda bir liderin kurumun başarısını belirleyişindeki rolü anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"Liderlik konusunda çok sayıda yayın olduğu halde, kötü yöneticilik ve liderlik son derece yaygındır. Bu videoda başarısız liderliğe yol açan beş özellik sıralanmıştır."
Acar Baltaş ile Liderlik Yolculuğu,"Liderlik konusunda çok sayıda yayın olduğu halde, kötü yöneticilik ve liderlik son derece yaygındır. Bu videoda başarılı liderlerin felaketine neden olan narsisizme odaklanılmıştır."
Acar Baltaş ile Liderlik Yolculuğu,Son on yıl içinde liderlik ve yöneticilik konusunda dört önemli değişiklik oldu. Bu videoda liderlik konusunda değişen eğilimler anlatılmıştır.
Acar Baltaş ile Liderlik Yolculuğu,"Nereden kazanıldığı belli olmayan 'kişisel gelişim uzmanlığı' ve motivasyon ticareti, ilgi toplayan ve ticari olarak büyük getiri sağlayan bir alan olmuştur. Bu videoda amatör ve ehliyetsiz psikologlar tarafından piyasaya sürülen ticarette motivasyon ve motivasyon ticareti konu edilmektedir."
Acar Baltaş ile Liderlik Yolculuğu,Bir liderin niteliği baskı altında ortaya çıkar. Bu videoda liderliğin en temel özelliklerinden biri olan karar ve kararlılığın nasıl değerlendirileceği anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"Toplumda özgüven çok önemsenir. Özgüven, başarı gibi bir dış değerlendirmeye bağlıdır. Oysa özsaygı dış değerlendirmeden bağımsızdır.  Hayatın en doğal parçası olan başarısızlık ancak özsaygısı yüksek insanlar tarafından gerçekçi olarak değerlendirilir."
Acar Baltaş ile Liderlik Yolculuğu,Açık ve şeffaf bir dünyada yaşadığımız için kendini olduğundan farklı gösteren yöneticiler itibar kaybetmektedir. Bu videoda otantik liderliğin özündeki nitelikler anlatılmaktadır.
Acar Baltaş ile Liderlik Yolculuğu,"Liderlik özelliğine sahip olmayan birçok kişi, kişisel illüzyonlarını vizyon gibi sunmaktadır. Bu videoda illüzyon ve vizyonu birbirinden ayıracak dört ölçüt anlatılmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,"Her insan farklıdır. Herkesin kabul ettiği bu klişe hayata ve ilişkilere yansımaz. Bu videoda farklı kişilik özelliklerinin yarattığı farklar anlatılmaktadır. Böylece, yöneticilerin birlikte çalıştıkları kişilerle ilgili gerçekçi beklentilere sahip olmaları gerektiği ortaya konmaktadır."
Acar Baltaş ile Liderlik Yolculuğu,"Bu videoda bir yöneticinin başarısının iki alandaki yeterliliğe bağlı olduğu anlatılmaktadır. Bunlardan birincisi sayı ve sonuçlarla, diğeri de ilişkilerinde yarattığı güvenle ilgili başarıdır."
Aday Belirlemeyi Tam On İkiden Vurmak,"<div>Organizasyonların karşılaştığı en önemli zorluklardan biri de kalifiye çalışanları işe almaktır. Son yıllarda yetenek kazanımı süreci, hem işgücü piyasasındaki değişikliklerden hem de teknolojideki gelişmelerden kaynaklı bir değişime uğradı.<br /><br />Bu eğitimde, organizasyonunuzun ihtiyaçlarını karşılamak için gereken yetenekleri nasıl etkileyeceğinizi ve bunu gerçekleştirmek için aday belirleme tekniklerini nasıl kullanacağınızı öğreneceksiniz. Hem organizasyonun hem de potansiyel çalışanların ihtiyaçlarını nasıl ele alacağınızı öğreneceksiniz. Adaylar için bir işte neyin önemli olduğu bilgilerinden faydalanarak, onları nasıl cezbedeceğinizi keşfedeceksiniz. Bu eğitim ayrıca, bir aday belirleme ve yetenek yönetimi stratejisi oluşturup uygulamanız için sizi hazırlamaktadır.</div>"
Aday Tarama: En İyileri İşe Almanın İlk Adımı,"<div>Yetenek yönetimi, işe doğru insanı almakla başlar. Aday tarama, çok fazla iş gerektirir ve bu işlerin çoğu asıl mülakattan önce yapılır.<br /><br />Bu eğitim, bir adayın özgeçmişini etkili bir şekilde değerlendirmenize yardımcı olacak bir iş tanımını nasıl oluşturacağınızı içermektedir. Özgeçmişleri, iş gereksinimlerine göre taramaya yarayan temel teknikleri öğreneceksiniz. Ayrıca, özgeçmişlerdeki kırmızı bayrak sorunlarını nasıl tanımlayacağınızı ve onlara nasıl yaklaşacağınızı öğreneceksiniz. Bu teknikler, en iyi adayları belirlemenize ve işe almanıza yardımcı olacaktır.</div>"
Afet Sonrası Zihinsel Sağlık,"İnsanların kendisine ayırdığı bir denge ver enerji vardır. Bu dengenin şaştığı afet gibi durumlardan sonra çeşitli deneyimler yaşanmaktadır. Bu makro-travmayı sağaltamazsanız, post-travmatik stres bozukluğu ortaya çıkabilir. Bu videoda travma sonrası zihinsel sağlığı korumak için yapılması gerekenler vaka örnekleri ile aktarılmıştır."
Afet Sonrası Zihinsel Sağlık,"Zihinsel sağlığın da bir ilk yardımı vardır. Uzman olmasak da gün sonunda zihinsel sağlığın diyaloğunu etkin şekilde yapmaya ihtiyaç duyarız. Bu videoda bu tür bir diyaloğu nasıl başlatırız, nasıl sorular sorarız, nasıl dinleriz gibi sorulara cevap bulacaksınız. Ek olarak vaka üzerinden örnekler verilmiştir."
Afetlerin Yol Açtığı Zor Zamanlarda Yaşamak,"Afetler, bireylerin hayatlarında beklenmedik ve ciddi değişikliklere neden olan doğal veya insan kaynaklı olaylardır. Bu olaylar, insanların güvenliklerini, sahip oldukları maddi ve manevi kaynakları, aileleri ve arkadaşlarıyla olan bağlarını, hatta hayatlarını kaybetmelerine yol açabilir. Bu nedenle, afetlerin psikolojik etkileri oldukça ciddi olabilir. Afetlere karşı hazırlıklı olmak, insanların afet sonrası oluşabilecek psikolojik etkilerle başa çıkmalarına yardımcı olabilir ve daha sağlam ve dayanıklı bir zihinsel sağlık durumu elde etmelerine yardımcı olabilir. Bu eğitimde yaşadığımız dönemin psikolojimize etkileri, bu süreçte stres yönetimi ve medya kullanımı gibi son derece önemli konular aktarılmıştır. Ayrıca eğitim sonunda yaşadığımız olumsuz duyguları nasıl anlamlı bir amaca çevirebiliriz, içinde bulunduğumuz koşullarda kendimizi daha iyi hissetmek için neler yapabiliriz konularında farkındalık sahibi olacaksınız."
Aksaklıkları Yoluna Koyan Bir Lider,Aksaklıklar iş dünyasının yeni normali haline geldi ve bunları tehdit olarak algılayan bir lider hızla irtifa kaybedecektir. Bu derste keşfededilmemiş fırsatları gün ışığına çıkarmak için aksaklıklara karşı nasıl 'oyunbozan' bir lider olacağınızı öğreneceksiniz. 
Alternatif Problem Çözümlerinin Nitelikleri,"Değişim her zaman olur. Etkili takım liderliği, değişime ortam hazırlayan süregelen geçiş süreçleri boyunca takımları yönetmek anlamına gelir. Bu geçiş süreçlerini sorunsuz hale getirmek için gereken verimli takım çalışmasını sekteye uğratabilecek engelleri ortadan kaldırmak önemlidir.  Bu eğitimde değişime karşı gösterilen direnç ve süreçte karşılaşılan engellerin çeşitlerini ve işbirliği ile bunları aşmayı öğreneceksiniz. Ayrıca organizasyonunuzda değişimi uygulamaya koyarken karşılaşılan engelleri nasıl aşacağınızı göreceksiniz. Son olarak da bir takımla çalışırken değişimi anlatmak için etkili yaklaşımları öğreneceksiniz."
Anlamlı Liderlik Video Serisi,Etkili bir lider olmak için önce kendi an'ımızı bulmalıyız. Bu videomuzda Mehmet Özel bizlere an'da olmak ve kalmak için bilmemiz gereken bilgileri paylaşmaktadır.
Anlamlı Liderlik Video Serisi,Anlam dediğimiz şeyi nasıl bulacağız? İşte bu videomuzda hayatımızdaki anlamları bulmak ve çoğaltmak için uygulamamız gerekenleri göreceğiz.
Anlamlı Liderlik Video Serisi,"Hayatımıza değer, nitelik ve anlam katacak ne kadar çok şey varsa onunla ilgili hayaller kurmak bizi anlamlı liderlik yolunda bir adım öteye taşıyacaktır. Gelin bu videomuzda Mehmet Özel'in DNA olarak adlandırdığı konu başlığımıza göz atalım."
Anlamlı Liderlik Video Serisi,"Anlamlı liderliğin en güzel dolgu malzemelerinden birisi de kendini bilmektir. Bu videomuzda kendimizi bilmemiz, tanımamız ve dinlemimizin önemi hakkında farkındalık kazandırılacaktır."
Anlamlı Liderlik Video Serisi,Hayatımızıda daha anlamlı öykülere sahip olmak için uygulamamız gerekenlerden bahsedilir.
Anlamlı Liderlik Video Serisi,Anlamlı liderliğin en önemli aşamalarından biri de yolumuzu ve yönümüzü belirlemektir. Bu videoda hayatımızda oluşturduğumuz yeni rotalardan tutun da var olan rotalarımızı iyileşitrmek için neler yapılması gerektiğini göreceğiz.
Anlamlı Liderlik Video Serisi,"Yanı başınızda durur gibi yapıp karşınızda dikilenlere inat tutkunuza, isteğinize ve hedefinize doğru gitmenin anlamlı liderlik yolunda öneminden bahsedilir."
Anne-Babalar için Çocuk Gelişimi,"<div>Anne karnında başlayan ve doğumdan sonra yetişkinlik dönemine kadar süren gelişim dönemleri her birey için genel bir takım özellikler sergiler. Anne babalar olarak çocuğun bedensel, zihinsel ve duygusal gelişim özelliklerini tanımak, onların gösterdikleri tepkileri ve becerileri doğru şekilde değerlendirme fırsatı sağlayacaktır.</div><div>Bu eğitimde; çocukların gelişim dönemleri içinde fiziksel, sosyal ve bilişşel değişimlerin en çok yaşandığı ergenlik dönemi anlatılmaktadır. Bu dönemde çocuğun kendi içinde veya ailesi ile yaşadığı sık karşılaşılan problemlere yer verilerek bu sorunlara nasıl çözüm stratejileri oluşturacakları anne ve babalara örneklerle anlatılmaktadır.</div>"
Anne-Babalar için Çocuk Gelişimi,"Bu eğitim; 6-12 yaş çocuğuna sahip anne babaların, çocuklarının bilişsel, sosyal, duygusal ve davranışsal gelişimlerini takip etmeleri, önleyici ve geliştirici tedbirler alabilmelerini sağlamak amacıyla hazırlanmıştır."
Argümanları İncelemek,"Eleştirel düşüncede tartışma, mantıklı bir sonuca ulaşmanın bir parçasıdır. Bu derste, tartışmaları tanımlamayı ve değerlendirmeyi, mantıksal yanlışlıkları ve ikna tekniklerini tanımayı ve kendi başınıza etkili tartışmalar yapmayı öğreneceksiniz."
Atik Lider,"Güzergahınızdaki küçücük bir değişiklik dahi başarıya daha çabuk ulaşmanızı sağlayabilir. Bu derste odaklanmış ve esnek bir düşünce yapısı kazanmayı, pratik tekniklerle değişen koşullara hızlıca uyum sağlamayı ve çalışanlarınızı hedefe doğru teşvik etmeyi öğreneceksiniz. "
Atwiser Yaşama Dair - Aile,"Videomuz; kendi hayatımızı düzenlemekte zorluk çektiğimiz bir yüzyılda çocuğumuzun hayatına nasıl müdahale edeceğimiz konusunda görüşleri, ipuçlarını ve 21. yy anne babasının yapması gereken 3 öneriyi içeriyor. "
Atwiser Yaşama Dair - Aile,"Videomuz; internet ve teknoloji çağında  anne babaların dikkat etmesi gereken konuları, değişime, teknolojiye ayak uydurmanın önemini ve farkındalık kazanarak ebeveyn olarak çocuğun gelişimine nasıl destek olabileceğimizi açıklıyor. "
Atwiser Yaşama Dair - Aile,"Videomuz; internet ve teknoloji çağında  anne babaların dikkat etmesi gereken konuları, çocuğun teknolojiyi daha iyi yönde kullanması yönünde yapılması gerekenleri ve bu konuda çok önemli önerileri açıklıyor. "
Atwiser Yaşama Dair - Aile,"Anne babalar için zor bir sınav olan okul seçimi konusunda size rehberlik edecek görüşler ve dikkat edilmesi gerekenler konular, öneriler için videomuzdan yararlanabilirsiniz. "
Atwiser Yaşama Dair - Aile,Sinav döneminde çocuğu anlamak ve ona destek olmak için neler yapmalıyız? Sorunun cevabını ve küçük pratik önerileri videomuzda bulabilirsiniz. 
Atwiser Yaşama Dair - Aile,"Videomuz, sınav dönemini en sağlıklı şekilde geçirmek için püf noktaları açıklarken çocukların sınav macerasında anne babaların farkında olmadan yaptığı hataları  bizlere gösteriyor. "
Atwiser Yaşama Dair - Aile,"Ateşli havale ailelerin kendilerini çok çaresiz hissettikleri bir durumdur. Yüksek ve bazen düşük ateşlerde de görülebilir. Videomuz, ateşli havale belirtilerini ve öncelikle yanlış sayılabilecek yapılmaması gerekenleri ve sonrasında doğru olarak yapılması gerekenleri açıklıyor. "
Atwiser Yaşama Dair - Aile,Bebeklerde kabızlık aile için oldukça önemli bir sorundur. Bu sorunla karşılaşıldığında ilk düşünülmesi gereken bebeğin doğru beslenip beslenmediğidir. Kabızlığı önlemek için doğru beslenme ve anne sütü azlığı ile ilgili konularda yapılması gerekenleri videomuzda bulabilirsiniz. 
Atwiser Yaşama Dair - Aile,Bebekleri çok rahatsız eden kolit ağrılarını azaltmak için neler yapılması gerektiği ve annenin doğru beslenmesinin kolike olumlu etkisi ile ilgili bilgileri bu videoda bulabilirsiniz.  
Atwiser Yaşama Dair - Aile,"Videomuz, bebek için uygun olan sağlıklı uyuma ortamı ile ilgili ipuçlarını, çok önemli detayları ve doğru sanılan hataları  sıralıyor. "
Atwiser Yaşama Dair - Aile,"Yeni doğan bebeğin alt, kulak ve burun temizliği, bakımı nasıl yapılmalıdır? Gelin, bu videomuzda izleyelim. "
Atwiser Yaşama Dair - Aile,"Yalan nedir, çocukların yanlış ifadelerinin yalan sayılabileceği yaş aralıkları, ergenlik dönemi yalan söylemenin nedenleri, aile ilişkilerinin bu konudaki yeri ve yalan karşısında yapılması gerekenler için videomuzu izleyebilirsiniz.  "
Atwiser Yaşama Dair - Aile,"Bir geçiş dönemi olan ergenlikte depresyona özellikle dikkat edilmesi gerekmektedir. Bu dönem depresyonda görülen belirtiler, bu konuda yapılması gerekenler için videomuzu izleyebilirsiniz. "
Atwiser Yaşama Dair - Aile,Çocuğumuza kötü alışkanlıklarla ve ergenlik döneminde karşılacabileceği yanlış davranışlarla ilgili uyarıları ne zaman ve nasıl vermeliyiz? Videomuz; bu soruların cevaplarını ve önerileri içeriyor. 
Atwiser Yaşama Dair - Aile,"Öğrenme nasıl gerçekleşiyor? Çocuğum nasıl öğreniyor? Beynin çalışmasını öğrenmek, bu sorulara ve öğrenme için sırlara cevap bulmak istiyorsanız, videomuzu izlemenizi tavsiye ederiz.  "
Atwiser Yaşama Dair - Aile,"Çocuğun hangi yaş dönemi, onun gelecek yaşamında daha belirleyici oluyor? Bu sorunun cevabını ve bu konudaki en önemli kurumlar hakkında bilgileri bulmak için videomuzu izleyebilirsiniz. "
Atwiser Yaşama Dair - Aile,Erken yaşta dil gelişimi konusunda aklımızdaki sorulara doğru ve net cevap almak için videomuzu izleyebilirsiniz. 
Atwiser Yaşama Dair - Aile,"Beyin ile beslenmenin ve zeki olmanın ilgisi, beslenme ile öğrenmenin ilgisi açıklanırken beyin için gereken doğru beslenme alışkanlığı hakkında tüm bilgiler bu videomuzda… "
Atwiser Yaşama Dair - Aile,"Videomuz; beynin çalışma prensipleri ve uyku düzeninin çocuğun öğrenme yaşantısına, güçlü hafızaya etkisi hakkında önemli bilgileri içeriyor. "
Atwiser Yaşama Dair - Aile,Çocuk farklı açılardan ele alınabilecek bir kavram ve onun da hakları var. Videomuz; çocuk haklarını hukuksal bir kavram olarak düşünürek onun yüksek yararı ve haklarını korumak için nelere dikkat etmemiz gerektiğini açıklıyor.  
Atwiser Yaşama Dair - Aile,Çok sık gündeme gelen çocuklarda mutlu olma kavramı hakkında tek bir formül verilemez belki; ama tek bir faktöre bağlı olmayan bu konuda çok önemli bazı öneriler bize yardımcı olabilir. Videomuzdan izleyebilirsiniz. 
Atwiser Yaşama Dair - Aile,"Çocukla nasıl oyunlar oynanmalı? sorusu için, ebeveynleri de mutlu edecek,  kaliteli zaman geçirirlmesini sağlayacak minik ipuçlarını ve hangi oyunlar oynanmalı konusunda önerileri içeriyor. "
Atwiser Yaşama Dair - Aile,"Çocuklu hayatın kendi içinde zorlukları var. Bunlara hazır olmak, çocuğun sağlıklı ve mutlu yetişmesinde büyük bir rol oynuyor. Videomuzdan bu konuda destek alabilir, çocuklu yaşamı daha kolay hale getirebilirsiniz.  "
Atwiser Yaşama Dair - Aile,İyi ebeveyn olmanın kuralları var mı?  İyi anne baba olmak neden önemli? Ebeveyn hatasız mı olmalı? Videomuzda sorularınıza cevap bulabilirsiniz.
