_id,question,airesponse,egitimheaderArr,egitimdescArr,similarity_scores,içerikDescriptions
64be87d4df4dc71411d2ed92,takım lideri olmak için ne yapmam lazım?,"Takım lideri olmak için, öncelikle takımınızın hedeflerini anlamanız ve takımınızın hedeflerine ulaşması için gerekli olan özellikleri geliştirmeniz gerekir. Ayrıca, takımınızın üyelerinin motivasyonunu arttırmak, onların çalışmalarını yönlendirmek ve onların çalışmalarının sonuçlarını değerlendirmek için gerekli olan liderlik becerilerini geliştirmeniz gerekir. Bu eğitimimizde, dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.","['Skillsoft ile Liderlik', 'Skillsoft ile Liderlik - Uzman Görüşleri']","['NAN', 'Liderlik, en geniş anlamıyla bir hedefe ulaşılması için başkalarını etkileme yeteneğidir. Bu eğitimimizde dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.']","[0.8712821856668812, 0.8712821856668812]",
64be8849c61c56ecce469492,takım lideri olmak için ne yapmam lazım?,"Takım lideri olmak için, öncelikle takımınızın hedeflerini anlamanız ve takımınızın hedeflerine ulaşması için gerekli olan özellikleri geliştirmeniz gerekir. Ayrıca, takımınızın üyelerinin motivasyonunu arttırmak, onların çalışmalarını yönlendirmek ve onların çalışmalarının sonuçlarını değerlendirmek için gerekli olan liderlik becerilerini geliştirmeniz gerekir. Eğitimimizde, dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.","['Skillsoft ile Liderlik', 'Skillsoft ile Liderlik - Uzman Görüşleri']","['NAN', 'Liderlik, en geniş anlamıyla bir hedefe ulaşılması için başkalarını etkileme yeteneğidir. Bu eğitimimizde dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.']","[0.8712821856668812, 0.8712821856668812]",
64be899b3fe8267494731827,liderliğin 4 P si,"Liderlik 4P'si, liderlik becerilerini özetlemek için kullanılan bir kavramdır. 4P'si, Planlama, Yönetme, Koordinasyon ve Denetim olarak tanımlanır.","['Skillsoft ile Liderlik', 'Skillsoft ile Liderlik - Uzman Görüşleri']","['NAN', 'Liderlik, en geniş anlamıyla bir hedefe ulaşılması için başkalarını etkileme yeteneğidir. Bu eğitimimizde dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.']","[0.8373948006576355, 0.837177556576894]",
64be8a133fe8267494731829,IQ mu arttırmak istiyorum,Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. Bu eğitimimizde e-öğrenme ve e-öğrenme teknikleri hakkında makaleler bulabilirsiniz.,"['Kaynak Dergisi Makaleleri - Değişim', 'Kaynak Dergisi Makaleleri - Eğitim ve Gelişim']","['Hayatımızın her noktasında değişimle karşılaşıyoruz. Bu değişimlere direnç kazanabilmek için ihtiyaç duyduğunuz bilgileri sizler için bu eğitimde bir araya getirdik. ', 'Türkiye’de ve dünyada uzaktan eğitim hakkında farklı konu başlıklarını içeren bu eğitimimizde e-öğrenme ve e-öğrenme teknikleri hakkında makaleler bulabilirsiniz. ']","[0.8140755826455734, 0.8107109492570688]",
64be8ad23fe826749473182b,duruya hangi sürücülük eğitimini önerirsiniz,"Sürücülerin güvenli bir sürüş için almaları gereken eğitim, genellikle trafik kuralları, sürüş teknikleri, aracın kontrolü, aracın bakımı ve aracın kullanımı gibi konuları içeren bir eğitimdir.",['Güvenli Sürüş Teknikleri'],['Hayatımızın en riskli alanlarından biri olan trafik kazaları sonucunda can ve mal kayıpları oluşabiliyor. Can ve mal kaybını azaltacak yöntemlerden biri de sürücülerin güvenli bir sürüş için eğitim almasıdır. Bu eğitimde güvenli bir sürüş için bilinmesi ve uygulanması gereken tedbirler anlatılmıştır. Sürücüler bu eğitimi tamamladıklarında daha güvenli bir sürücü olabilmek için adım atmış olacaktır.'],"[0.8643596575818631, 0.8627716262663351]",
64be8b2b3fe826749473182d,nasıl daha komik ve eğlenceli bir insan olabilirim,Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim.,"['Kaynak Dergisi Makaleleri - Karar Verme', 'Kaynak Dergisi Makaleleri - Yetenek Yönetimi']","['Karar vermek tüm yetkinliklerde olduğu gibi temellerini kişilik özelliklerinden, baskı altındaki davranış özelliklerinden ve değerlerden alır. Bu eğitimin içerisinde bulunan makaleleri inceleyerek doğru karar verme hakkında bilgi edinebilirsiniz.', 'Yetenek, fark yaratır. Bu eğitimin içerisinde bulunan makaleleri inceleyerek yetenek ve yetenek yönetimi hakkında bilgi edinebilirsiniz.']","[0.826291144680372, 0.821719557826281]",
64be8b9d3fe826749473182f,patronumu maaşımı arttırmaya nasıl ikna ederim,"Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. Örneğin, patronunuzu ikna etmek için iletişim becerilerinizi geliştirmeniz, müşteri odaklı yaklaşımınızı geliştirmeniz ve müşteri memnuniyetini arttırmak için çalışmalar yapmanız gibi konuları içeren eğitimler bulabilirsiniz.","['Skillsoft ile Liderlik - Müşteri Duyarlılık', 'Skillsoft ile İnsan ve İş Yönetimi']","['Müşteriyi memnun etmek için onu anlamak ve aynı çizgide olmak gerekir. Bu eğitimimizde dünyaca ünlü alanında uzman kişiler ile beraber hazırlanmış videoları bulabilirsiniz.', 'NAN']","[0.8307161127773727, 0.8305938007214323]",
64be8be33fe8267494731831,maaşımı hisselere yatırmak ve finans öğrenmek istiyorum,"Sorunuza doğrudan cevap veremiyorum ama size hisse senedi ihracı, tahvil ihracı, banka kredisi ve finansal kiralama yoluyla finansman konularını öğrenmek için çeşitli eğitim ve okuma başlıkları önerebilirim.","['Finansal Matematik', 'Temel Finansman Teknikleri']","['Bu eğitim ile katılımcıların, finansal matematiğin kavramları ve paranın zaman değeri hakkında bilgi sahibi olmaları amaçlanmaktadır.', 'Bu eğitimde, hisse senedi ihracı yoluyla, tahvil ihracı yoluyla ve banka kredisi yoluyla finansman, bunun yanı sıra finansal kiralama yoluyla makine ve teçhizat finansmanı konuları anlatılmaktadır.']","[0.8484366422630486, 0.8381418333020152]",
64c25481833d004fb1148c17,ikna kabiliyetimi geliştirmek istiyorum. Bağlangıç seviyesinde 3 dakikadan kısa bir eğitim güzel olur,"İkna kabiliyetini geliştirmek için, öncelikle konuşma ve iletişim becerilerinizi geliştirmeniz gerekir. Bunu yapmak için, konuşma ve iletişim becerilerinizi geliştirmek için çeşitli eğitim ve okuma başlıkları önerebilirim. Örneğin, konuşma ve iletişim becerilerinizi geliştirmek için konuşma kurslarına katılabilir, konuşma ve iletişim konusunda kitaplar okuyabilir veya online eğitimler alabilirsiniz.","['Skillsoft ile Liderlik - Etkileyen Lider', 'Skillsoft İş Etiği - Çeşitliliği Teşvik Etme ve Ayrımcılığı Engelleme', 'Skillsoft ile Liderlik']","['Liderlik stilleri kişiden kişiye değişebilir. Liderler etkili olabilmek için belirli özelliklere sahip olmalıdır. Bu eğitimimizde dünyaca ünlü alanında uzman kişiler ile beraber hazırlanmış videoları bulabilirsiniz.', 'Çalışanların olağanüstü çeşitlilikteki yetenekleri, kültürleri, etnik kökenleri, inançları ve dilleri; modern iş gücünün içinde bulunduğu dünya kadar çeşitlidir. İş gücünün tam potansiyelinden faydalanmak için, şirketlerin, müdürlerin ve çalışanların çeşitliliği ve kaynaşmayı desteklediği yolları değerlendirmesi ve geliştirmesi ve çalışanlara adil davranılmasını sağlamaya yardımcı olması önemlidir. Lütfen, kurs içeriğinin sadece bilgilendirme amaçlı olduğunu ve bir hukuki tavsiye niteliği taşımadığını göz önünde bulundurun.\r\nKurs materyallerinde paylaşılan hiçbir bilgi belirli bir duruma özgü bir uzman tavsiyesi olarak değerlendirilemez ve yasal mevzuatlara uyum bakımından herhangi bir yasal kanaat teşkil etmez. Bu bilgiler bir avukat müvekkil ilişkisi kurmak amacıyla aktarılmadıkları gibi, bilgilerin alınması da bu yönde bir ilişki teşkil etmez. Kullanıcılar kendi yargı bölgelerinde onaylı profesyonel danışmanlığa başvurmaksızın yalnızca buradan edindikleri bilgiler temelinde hareket etmemelidir.', 'NAN']",,"['Mentorluk ve Koçluk arasındaki fark ve her düzeydeki çalışanın potansiyellerine erişmesi için geliştirmenin püf noktaları', 'Mentorluk ve Koçluk arasındaki fark ve her düzeydeki çalışanın potansiyellerine erişmesi için geliştirmenin püf noktaları', 'İK Yetkinlikleri, organizasyonlar için önem taşıyan 10 yeteneği ve insan kaynakları profesyonellerinden bu yeteneklere uygun olarak beklenen davranışları içermektedir.', 'Bu ders, değerlerinizi, ilgi alanlarınızı, becerilerinizi ve güçlü yönlerinizi belirlemek için ihtiyaçlarınızın envanterini çıkarmanıza yardımcı olur. Her türlü boşluğu ele almak ve kariyerinizi daha da ilerletmek için eylem planınızı geliştirmek ve uygulamak için ipuçları sunar.', 'Kurumların karşı karşıya olduğu en büyük sorunlardan biri kalifiye eleman alımıdır. Yetenek edinme süreci, işgücü piyasası koşullarındaki değişikliklerin yanı sıra teknolojideki gelişmeler nedeniyle son yıllarda önemli ölçüde değişmiştir. Bu eğitimde, kurumunuzun ihtiyaçlarını karşılamak için gereken yetenekleri kendinize nasıl çekeceğinizi ve bunun için kullanılacak işe alım tekniklerini öğreneceksiniz. Kuruluşun ihtiyaçlarını ve potansiyel çalışanların ihtiyaçlarını nasıl dikkate alacağınızı öğreneceksiniz. Bir işte onlar için neyin önemli olduğuna bakarak işe alım görevlilerine nasıl hitap edeceğinizi keşfedeceksiniz. eğitim ayrıca sizi bir işe alım ve yetenek yönetimi stratejisi oluşturmaya ve uygulamaya hazırlar.', 'Günümüz dünyasında dönüşen sadece işler değil aynı zamanda işlerin yapılış şeklide büyük bir dönüşüm geçiriyor. Bu dönüşüm içinde karşımıza çıkan yeni bir model ise yüksek becerili çalışanlar için yeni bir çalışma olanağı sunan yetenek platformları. Bu bölümde genel olarak, bu platformların değerlendirildiği kategorileri öğrenecek ve yetenek platformlarına dair farkındalığınızı artırabileceksiniz.', 'Mevcut kariyerimizin öneminin tartışılmaz olduğu günümüzde, gerekçeleriyle hazırlanmış, gerçekçi ve etkili bir “kariyer planına” sahip olmakta önemlidir. Ancak, ne yazıktır ki birçok kişi böyle bir kariyer planına sahip değildir. Bu yazımızda sizlerle gelecekte varlığını belli edecek olan kariyer fırsatlarına uygun olarak, aranan bir çalışan olmak amacıyla profesyonel gelişiminizin sorumluluğunu nasıl alacağınıza odaklanacağız. Bizler ancak becerilerimizi geliştirme sorumluluğu aldığımızda kariyer gelişimlerimizi yönetebiliriz. Hedefimiz, kariyer gelişim planınızı hazırlarken, “nerede olmak istediğinizi” ve “oraya nasıl gideceğinizi” belirleyecek olan kariyer gelişim yapınızı oluşturmanızda yardımcı olmaktır. Kariyer başarısı, her bir pozisyonu gelecek pozisyonlara uzanan bir köprü olarak görmeyi gerektirir ve kariyerinizi tırmandırmak amacıyla geliştirmek istediğiniz becerilerinizi ve deneyimlerinizi tanımlayabilmenize dayanır. Becerilerinizi geliştirmek kariyer yönetiminin vazgeçilmez bir parçasıdır. Bu yaklaşım bireylerin kendileri ile ilgili farkındalıklarının gelişmesine ve esnekliklerinin bilincine varmalarına olanak vermektedir.', 'İşletmelerin sürdürülebilir başarı için iş geliştirmeyi nasıl konumlaması gerektiği ve iş geliştirme için ihtiyaç duyulan bakış açıları ele alınmaktadır.', 'Çalışanların olağanüstü çeşitlilikteki yetenekleri, kültürleri, etnik kökenleri, inançları ve dilleriyle birlikte, modern işgücü içinde bulunduğu dünya kadar çeşitlidir.  İşgücünün tam potansiyelinden faydalanmak için, şirketlerin, müdürlerin ve çalışanların çeşitliliği ve kaynaşmayı desteklediği yolları değerlendirmesi ve geliştirmesi ve çalışanlara adil davranılmasını sağlamaya yardımcı olması önemlidir.  Lütfen, kurs içeriğinin sadece bilgilendirme amaçlı olduğunu ve bir hukuki tavsiye niteliği taşımadığını göz önünde bulundurun. Kurs materyallerinde paylaşılan hiçbir bilgi belirli bir duruma özgü bir uzman tavsiyesi olarak değerlendirilemez ve yasal mevzuatlara uyum bakımından herhangi bir yasal kanaat teşkil etmez. Bu bilgiler bir avukat müvekkil ilişkisi kurmak amacıyla aktarılmadıkları gibi, bilgilerin alınması da bu yönde bir ilişki teşkil etmez. Kullanıcılar kendi yargı bölgelerinde onaylı profesyonel danışmanlığa başvurmaksızın yalnızca buradan edindikleri bilgiler temelinde hareket etmemelidir.', '<div>Otorite, bir pozisyon gücünü de beraberinde getirir. Bir unvan, kişiye belli bir güç ve otorite sağlasa dahi, bunun da sınırları vardır. Hedeflere ulaşmak ve sonuç almak, iş tanımının ve kartvizitteki unvanın ötesinde bir kişisel güç gerektirir. Kişisel güç ise, kişisel itibar, nüfuz ve politik yetkinlikten beslenir. En mütevazı iş unvanlarına sahip olan kişiler bile işi nasıl bitirebileceğini bilir.</div><div> </div><div>Bu eğitimimizde, kişisel güç ve itibarı nasıl oluşturabileceğinizi ve onları kullanarak çalışma arkadaşlarınız ile organizasyonda nasıl güven kazanabileceğinizi, bu sayede iş yerinde nüfuzunuzu arttırarak hedeflerinize nasıl ulaşabileceğinizi öğreneceksiniz.</div>']"
64be8c153fe8267494731833,HTML öğrenmek istiyorum,"HTML Nedir?, HTML5 Nedir?, Visual Studio Code Kullanımı, HTML Temelleri, Etiketler, Forms Etiketleri ve HTML5 Semantic (Anlamsal) Etiket Kavramlarını öğreneceğiz.","['Net Programlama: ASP.NET Core MVC', 'Temel Web Programlama: HTML']","[""Bu bölümde ASPNET Core ve ASP.NET Tarihçesi, ASP.NET Core Nedir?, ASP.NET Core Uygulama Oluşturma, Proje Mimarisi (wwwroot, program.cs, startup.cs), Web çalışma Mantığı (Req-Res), Model-View-Controller Kavramı, Görünümler(Views), Layouts Kavramı, View Start ve View Imports Kavramı, Razor Syntax, Model Kavramı, HTML Helpers, Section Kavramı, Partial View Kavramı, View Component, Tag Helpers, Veri ile çalışma, ViewBag, ViewData ve TempData Kavramları ile Controllerdan View'a Veri Gönderme, Veri Post İşlemi ile View'dan Controller'a Veri Gönderme, Data Annotations Kavramı, Form Validation Kavramı, Route Values, EF Core ile Veri tabanı üzerinde CRUD İşlemi ve Sayfaları, İleri MVC Konuları, Local Functions, Templated Delegates, Client-Side Validation, Action Types, Routing Types, Convention-Based, Attribute-Based, Routing Templates, Routing Constraints, State Management, Session ve Cookie Kullanımlarını öğrenerek örnek Web Uygulaması Oluşturacağız."", 'Bu Bölümde HTML Nedir?, HTML5 Nedir?, Visual Studio Code Kullanımı, HTML Temelleri, Etiketler, Forms Etiketleri ve HTML5 Semantic (Anlamsal) Etiket Kavramlarını öğreneceğiz.']","[0.8892329771070095, 0.8783163915450586]",
64be8c633fe8267494731835,sanırım mental sağlığım bozuldu,"Sanırım mental sağlığınızı korumak ve iyileştirmek için afet sonrası zihinsel sağlık sürecine başvurmanız gerekiyor. Bu süreç, afet sonrasında insanların zihinsel sağlıklarını korumalarına, iyileştirmelerine ve toplumsal dayanışma duygularını geliştirmelerine yardımcı olmayı amaçlar. Bu eğitim, insanların afet sonrasında yaşayabilecekleri kaygı, depresyon, travma sonrası stres bozukluğu gibi psikolojik sorunlarla başa çıkmalarına yardımcı olmak için tasarlanmıştır.","['Afet Sonrası Zihinsel Sağlık', 'Kısa Kısa: Kişisel Mükemmellik Seti']","['Afet sonrası zihinsel sağlık süreci, afetlerin yol açtığı stres, kaygı, depresyon, travma sonrası stres bozukluğu ve diğer psikolojik sorunlarla başa çıkmak için uygulanan bir süreçtir. Bu süreç, afet sonrasında insanların zihinsel sağlıklarını korumalarına, iyileştirmelerine ve toplumsal dayanışma duygularını geliştirmelerine yardımcı olmayı amaçlar. Bu eğitim, insanların afet sonrasında yaşayabilecekleri kaygı, depresyon, travma sonrası stres bozukluğu gibi psikolojik sorunlarla başa çıkmalarına yardımcı olmak için tasarlanmıştır. Bu eğitimde amaç, afetlerin yol açtığı psikolojik etkilerle başa çıkmak için bireylerin bilinçlendirilmesi ve desteklenmesidir.', 'Kişisel olarak gelişim aynı zamanda kişisel güç demektir. Kişisel güce sahip olmak, gerekli becerilere sahip olmak içinde bulunduğumuz değişim dünyasında bir tercih olmaktan çıkarak çoktan zorunluluk haline geldi. Şimdi bu değişimi yönetme ve potansiyelinizi çok yönlü olarak ortaya çıkarma zamanı.']","[0.8377181748085616, 0.8370364553627885]",
